ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Constitution Day,Constitution Day_lower,Constitution Day_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Immaculate Conception,Immaculate Conception_lower,Immaculate Conception_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-01-01,21535.93127497512,-67754.47053178646,116609.25241802252,21535.93127497512,21535.93127497512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005341343023381915,0.005341343023381915,0.005341343023381915,0.0012943274964959722,0.0012943274964959722,0.0012943274964959722,0.004047015526885942,0.004047015526885942,0.004047015526885942,0.0,0.0,0.0,21650.962071242742
2023-01-02,27398.782217012875,-68410.54557361918,121035.23267743945,27398.782217012875,27398.782217012875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038515831224775294,0.0038515831224775294,0.0038515831224775294,-0.0006993391191693826,-0.0006993391191693826,-0.0006993391191693826,0.004550922241646912,0.004550922241646912,0.004550922241646912,0.0,0.0,0.0,27504.310904176356
2023-01-03,33261.63315905063,-49571.94906107995,116468.39944162795,33261.63315905063,33261.63315905063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004114279196593793,0.004114279196593793,0.004114279196593793,-0.0009328826298023757,-0.0009328826298023757,-0.0009328826298023757,0.005047161826396169,0.005047161826396169,0.005047161826396169,0.0,0.0,0.0,33398.480804401646
2023-01-04,39124.48410108838,-47137.59776278231,123154.3363658388,39124.48410108838,39124.48410108838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005258832136398711,0.005258832136398711,0.005258832136398711,-0.00027635329644195824,-0.00027635329644195824,-0.00027635329644195824,0.005535185432840669,0.005535185432840669,0.005535185432840669,0.0,0.0,0.0,39330.2331953992
2023-01-05,44987.335043126135,-39253.47090749823,129568.4589297769,44987.335043126135,44987.335043126135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005981310936092101,0.005981310936092101,0.005981310936092101,-3.356731099833522e-05,-3.356731099833522e-05,-3.356731099833522e-05,0.006014878247090436,0.006014878247090436,0.006014878247090436,0.0,0.0,0.0,45256.41828220522
2023-01-06,50850.18598516389,-43313.37657387048,136716.51519129914,50850.18598516389,50850.18598516389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0091424888,-0.0091424888,-0.0091424888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0091424888,-0.0091424888,-0.0091424888,-0.0026609280076926216,-0.0026609280076926216,-0.0026609280076926216,-4.9837708206722545e-06,-4.9837708206722545e-06,-4.9837708206722545e-06,0.00648654456312805,0.00648654456312805,0.00648654456312805,0.0,0.0,0.0,50714.877301079585
2023-01-07,56713.03692720165,-29268.206411421666,144206.76903216523,56713.03692720165,56713.03692720165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007603671072357365,0.007603671072357365,0.007603671072357365,0.0006527986307412839,0.0006527986307412839,0.0006527986307412839,0.006950872441616082,0.006950872441616082,0.006950872441616082,0.0,0.0,0.0,57144.26420551054
2023-01-08,62575.8878692394,-24254.96828178402,153695.16730439913,62575.8878692394,62575.8878692394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008703206667614007,0.008703206667614007,0.008703206667614007,0.0012943274964951506,0.0012943274964951506,0.0012943274964951506,0.007408879171118855,0.007408879171118855,0.007408879171118855,0.0,0.0,0.0,63120.49875377483
2023-01-09,68438.73881127716,-20475.56070703895,156564.72355195612,68438.73881127716,68438.73881127716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00716250032707271,0.00716250032707271,0.00716250032707271,-0.0006993391191704168,-0.0006993391191704168,-0.0006993391191704168,0.007861839446243126,0.007861839446243126,0.007861839446243126,0.0,0.0,0.0,68928.93130039738
2023-01-10,74301.5897533149,-13610.299710264488,170340.2666127838,74301.5897533149,74301.5897533149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073783161834096765,0.0073783161834096765,0.0073783161834096765,-0.0009328826298035257,-0.0009328826298035257,-0.0009328826298035257,0.008311198813213202,0.008311198813213202,0.008311198813213202,0.0,0.0,0.0,74849.81037544485
