date,net_cash,cash_balance,transaction_count,cash_inflow,cash_outflow
2023-01-01,-225089.3395223781,224910.6604776219,5.0,0.0,225089.3395223781
2023-01-02,-190142.61,34768.0504776219,2.0,0.0,190142.61
2023-01-03,0.0,42979.2954776219,0.0,0.0,0.0
2023-01-04,16422.49,51190.54047762189,2.0,16422.49,0.0
2023-01-05,0.0,54133.25547762189,0.0,0.0,0.0
2023-01-06,5885.43,57075.970477621886,1.0,5885.43,0.0
2023-01-07,0.0,61855.042977621895,0.0,0.0,0.0
2023-01-08,0.0,66634.1154776219,0.0,0.0,0.0
2023-01-09,0.0,71413.18797762191,0.0,0.0,0.0
2023-01-10,19116.29,76192.26047762192,3.0,19116.29,0.0
2023-01-11,4060.85,80253.1104776219,1.0,4060.85,0.0
2023-01-12,16373.71,96626.82047762192,3.0,16373.71,0.0
2023-01-13,0.0,106127.85047762192,0.0,0.0,0.0
2023-01-14,19002.06,115628.88047762192,2.0,19002.06,0.0
2023-01-15,-4950.571165243889,110678.30931237806,1.0,0.0,4950.571165243889
2023-01-16,8280.94,118959.24931237806,1.0,8280.94,0.0
2023-01-17,0.0,124212.02431237804,0.0,0.0,0.0
2023-01-18,10505.55,129464.79931237805,1.0,10505.55,0.0
2023-01-19,9705.69,139170.48931237805,1.0,9705.69,0.0
2023-01-20,22858.0,162028.48931237805,3.0,22858.0,0.0
2023-01-21,2192.44,164220.92931237805,1.0,2192.44,0.0
2023-01-22,32826.11,197047.03931237804,4.0,32826.11,0.0
2023-01-23,22394.97,212700.40931237803,3.0,22394.97,0.0
2023-01-24,6815.41,226257.41931237804,1.0,6815.41,0.0
2023-01-25,0.0,228626.09431237803,0.0,0.0,0.0
2023-01-26,4737.35,230994.76931237805,2.0,4737.35,0.0
2023-01-27,0.0,222669.77931237803,0.0,0.0,0.0
2023-01-28,-16649.98,214344.78931237804,2.0,0.0,16649.98
2023-01-29,12871.04,227215.82931237805,3.0,12871.04,0.0
2023-01-30,0.0,229792.40431237803,0.0,0.0,0.0
2023-01-31,5153.15,232368.97931237804,1.0,5153.15,0.0
2023-02-01,-168149.94,64219.039312378096,5.0,0.0,168149.94
2023-02-02,11006.07,75225.1093123781,1.0,11006.07,0.0
2023-02-03,35096.020000000004,110321.12931237812,3.0,35096.020000000004,0.0
2023-02-04,12681.23,123002.3593123781,1.0,12681.23,0.0
2023-02-05,11625.79,129356.14931237808,3.0,11625.79,0.0
2023-02-06,21520.55,156148.69931237807,2.0,21520.55,0.0
2023-02-07,7055.7,163204.39931237808,1.0,7055.7,0.0
2023-02-08,16434.28,179638.67931237805,2.0,16434.28,0.0
2023-02-09,17142.46,196781.13931237804,1.0,17142.46,0.0
2023-02-10,16150.82,212931.95931237805,1.0,16150.82,0.0
2023-02-11,9985.259999999998,221124.67931237805,2.0,9985.259999999998,0.0
2023-02-12,26104.460000000003,249021.67931237808,3.0,26104.460000000003,0.0
2023-02-13,9561.85,258583.5293123781,1.0,9561.85,0.0
2023-02-14,15171.46,273754.9893123781,2.0,15171.46,0.0
2023-02-15,4127.200230214212,277882.18954259227,2.0,4127.200230214212,0.0
2023-02-16,13601.91,283199.63954259234,2.0,13601.91,0.0
2023-02-17,0.0,303696.3795425924,0.0,0.0,0.0
2023-02-18,32709.02,324193.11954259226,5.0,32709.02,0.0
2023-02-19,33515.28,357708.3995425923,5.0,33515.28,0.0
2023-02-20,8255.19,363868.3995425923,2.0,8255.19,0.0
